day,weth_balance,usdc_balance,weth_usd,usdc_usd,tvl
2025-08-18 00:00:00.000 UTC,4821.246333244755,68344210.64184153,20893471.129842,68377137.60107483,89270608.73091683
2025-08-19 00:00:00.000 UTC,5368.853539987995,65710313.69630444,22707782.1064505,65737146.09221286,88444928.19866337
2025-08-20 00:00:00.000 UTC,3768.863446951833,72808174.36712682,15934843.640765954,72820046.39725341,88754890.03801936
2025-08-21 00:00:00.000 UTC,4534.598179415556,69505810.0474335,19384341.58642936,69514672.52089389,88899014.10732324
2025-08-22 00:00:00.000 UTC,2563.6194188112604,77763689.76520902,11497377.78387798,77767747.78775574,89265125.57163373
2025-08-23 00:00:00.000 UTC,2700.523438129796,77030240.71244729,12798362.873663442,77012482.83476797,89810845.70843141
2025-08-24 00:00:00.000 UTC,3041.7150013570827,75064726.79783607,14574422.63226708,75079061.55424032,89653484.1865074
2025-08-25 00:00:00.000 UTC,5210.712337863388,64235359.886154175,23994841.99250672,64278067.70194013,88272909.69444685
2025-08-26 00:00:00.000 UTC,5609.835134155954,70417692.2672531,25132836.843854416,70443744.36833324,95576581.21218763
2025-08-27 00:00:00.000 UTC,5062.568691365952,65637897.88131714,23244355.761688,65648823.85640199,88893179.61808999
2025-08-28 00:00:00.000 UTC,5109.6622983399975,65925635.13817516,23203620.349695303,65956871.2992656,89160491.6489609
2025-08-29 00:00:00.000 UTC,5626.345832574541,64964862.18298134,24695283.525758214,65001491.98892047,89696775.51467869
2025-08-30 00:00:00.000 UTC,5940.787841249221,65671242.595944375,25938274.91410005,65702768.896843225,91641043.81094328
2025-08-31 00:00:00.000 UTC,7559.907828108815,65871159.30928245,33721960.842685,65888712.829641744,99610673.67232674
2025-09-01 00:00:00.000 UTC,6444.425313154898,65172952.47661641,28217324.604349975,65185672.29080312,93402996.89515308
2025-09-02 00:00:00.000 UTC,6436.543041184159,65260915.061920375,27946869.36429553,65264125.08317992,93210994.44747543
2025-09-03 00:00:00.000 UTC,5998.070737732305,67446463.81319377,26324976.39676578,67440335.5525511,93765311.94931687
2025-09-04 00:00:00.000 UTC,6507.536749710169,64346333.08794266,28433023.987680376,64359138.23165195,92792162.21933232
2025-09-05 00:00:00.000 UTC,6422.654135816592,64379305.35577962,27904056.5071193,64396775.619152725,92300832.12627202
2025-09-06 00:00:00.000 UTC,6548.543558586258,63940920.47275768,28133286.660236463,63959981.08353698,92093267.74377345
2025-09-07 00:00:00.000 UTC,6771.8982243233,63657852.59272368,29105074.935200732,63681212.151180506,92786287.08638124
2025-09-08 00:00:00.000 UTC,6422.04681942573,63760695.83320467,27714769.624772217,63770789.50558112,91485559.13035332
2025-09-09 00:00:00.000 UTC,6416.651725757405,66454392.15247868,27704808.421628974,66457455.51536135,94162263.93699032
2025-09-10 00:00:00.000 UTC,6233.419249313174,67115080.0363967,27059587.22948901,67124324.20651785,94183911.43600684
2025-09-11 00:00:00.000 UTC,5885.168647561168,67810321.44256766,25989516.151261836,67802275.7950189,93791791.94628072
2025-09-12 00:00:00.000 UTC,4138.168133021918,75406313.25664242,18863485.678479563,75384839.2143229,94248324.89280246
2025-09-13 00:00:00.000 UTC,4872.550580361658,72220726.34656282,22861184.572589185,72170084.06987615,95031268.64246534
2025-09-14 00:00:00.000 UTC,5363.322420567045,69669279.47788669,24879845.23825584,69627905.36025847,94507750.59851432
2025-09-15 00:00:00.000 UTC,5649.569051078102,68480313.66620721,25736370.33234245,68497743.80826592,94234114.14060836
2025-09-16 00:00:00.000 UTC,5218.225833815031,65458829.948020115,23498169.37894912,65478758.29785003,88976927.67679915
2025-09-17 00:00:00.000 UTC,5081.304477296504,66266982.04020198,22924169.295002144,66276461.67003918,89200630.96504132
2025-09-18 00:00:00.000 UTC,5278.843519252474,66587477.951392904,24273827.311369214,66574704.02233221,90848531.33370142
2025-09-19 00:00:00.000 UTC,5753.688406903802,64369030.046636835,26002254.24488694,64363502.57968529,90365756.82457224
2025-09-20 00:00:00.000 UTC,5711.799788057429,64621609.64391284,25588548.703182593,64635435.07828702,90223983.7814696
2025-09-21 00:00:00.000 UTC,5940.431913110504,63989184.02433376,26601404.8866216,64003351.18523988,90604756.07186148
2025-09-22 00:00:00.000 UTC,5090.710795443159,59551495.7015643,21492245.83022918,59571233.5071969,81063479.33742608
2025-09-23 00:00:00.000 UTC,5136.3987662588515,58047767.60703091,21500815.95897044,58057179.407573335,79557995.36654377
2025-09-24 00:00:00.000 UTC,5326.686664359357,57900173.81233086,22230733.33140339,57918042.24826246,80148775.57966584
2025-09-25 00:00:00.000 UTC,5525.133446453594,54710766.78318216,22090225.958728403,54751655.10269908,76841881.06142747
2025-09-26 00:00:00.000 UTC,5019.847505744361,55481255.87575181,19895358.23021059,55494554.23191272,75389912.4621233
2025-09-27 00:00:00.000 UTC,5059.215016361271,55292031.15781267,20310209.548488524,55316093.17464981,75626302.72313833
